Wavelength (nm),P3HTPCBMBlendDCB_n,P3HTPCBMBlendDCB_k,n0,k0
300,1.75,0.1888075,1.5,0
301,1.75,0.186179,1.5,0
302,1.75,0.1835085,1.5,0
303,1.75,0.180866,1.5,0
304,1.75,0.178395,1.5,0
305,1.75,0.176253,1.5,0
306,1.74,0.1740165,1.5,0
307,1.74,0.1718395,1.5,0
308,1.74,0.16975,1.5,0
309,1.74,0.1680945,1.5,0
310,1.73,0.16639,1.5,0
311,1.73,0.1646505,1.5,0
312,1.73,0.1631035,1.5,0
313,1.725,0.161462,1.5,0
314,1.72,0.159866,1.5,0
315,1.72,0.160181,1.5,0
316,1.72,0.1604575,1.5,0
317,1.72,0.1606955,1.5,0
318,1.71,0.1610665,1.5,0
319,1.71,0.1614375,1.5,0
320,1.71,0.161798,1.5,0
321,1.71,0.162246,1.5,0
322,1.7,0.162645,1.5,0
323,1.7,0.1628795,1.5,0
324,1.7,0.1637545,1.5,0
325,1.7,0.164969,1.5,0
326,1.7,0.1668065,1.5,0
327,1.7,0.168588,1.5,0
328,1.7,0.170289,1.5,0
329,1.7,0.1718745,1.5,0
330,1.7,0.1734355,1.5,0
331,1.7,0.1750945,1.5,0
332,1.7,0.176722,1.5,0
333,1.7,0.1783075,1.5,0
334,1.7,0.1797075,1.5,0
335,1.71,0.1810375,1.5,0
336,1.71,0.1810655,1.5,0
337,1.71,0.18095,1.5,0
338,1.72,0.180425,1.5,0
339,1.72,0.1799175,1.5,0
340,1.72,0.179424,1.5,0
341,1.73,0.1778665,1.5,0
342,1.73,0.1759275,1.5,0
343,1.73,0.173614,1.5,0
344,1.73,0.1712095,1.5,0
345,1.73,0.1683325,1.5,0
346,1.74,0.165354,1.5,0
347,1.74,0.162148,1.5,0
348,1.74,0.15904,1.5,0
349,1.74,0.1560545,1.5,0
350,1.74,0.1527155,1.5,0
351,1.74,0.149128,1.5,0
352,1.74,0.1456175,1.5,0
353,1.74,0.144454,1.5,0
354,1.74,0.1457827,1.5,0
